level,n_blocks,block_size,mean,variance,error
0.0,32768.0,1.0,3.0964016586906475,2.0894039197508207,0.007985208034589762
1.0,16384.0,2.0,3.0964016586906475,1.2514623948780847,0.008739748441024096
2.0,8192.0,4.0,3.0964016586906475,0.7722851168321904,0.009709432813033133
3.0,4096.0,8.0,3.096401658690648,0.4403729146851397,0.010368843649332441
4.0,2048.0,16.0,3.096401658690648,0.24532683621912119,0.0109447930198619
5.0,1024.0,32.0,3.096401658690648,0.1348330798990658,0.011474882552293572
6.0,512.0,64.0,3.096401658690648,0.07299039842728998,0.011939822943758453
7.0,256.0,128.0,3.096401658690648,0.0396596342624496,0.012446704235969205
8.0,128.0,256.0,3.096401658690648,0.020958043075803002,0.012795886508159994
9.0,64.0,512.0,3.096401658690648,0.008878118814759422,0.011777971237892202
10.0,32.0,1024.0,3.096401658690648,0.0032473617111148825,0.010073730861619248
11.0,16.0,2048.0,3.096401658690648,0.001135800898144,0.008425411333222848
12.0,8.0,4096.0,3.096401658690648,0.0008301014717302372,0.010186397006119468
13.0,4.0,8192.0,3.0964016586906475,0.0007092113924488,0.013315511560289376
14.0,2.0,16384.0,3.096401658690648,0.0008098629363226149,0.020122909038240655
