level,n_blocks,block_size,mean,variance,error
0.0,16384.0,1.0,3.0775217292896886,2.0927241189557106,0.011301758429050119
1.0,8192.0,2.0,3.0775217292896886,1.2238386312902014,0.012222698727006535
2.0,4096.0,4.0,3.0775217292896886,0.7363699970576388,0.013408125570447947
3.0,2048.0,8.0,3.0775217292896886,0.4203459040604779,0.014326444899800865
4.0,1024.0,16.0,3.0775217292896886,0.23107402806799898,0.01502192499432597
5.0,512.0,32.0,3.077521729289688,0.12853153829810623,0.01584418381421046
6.0,256.0,64.0,3.077521729289688,0.06023563631267197,0.015339343347952509
7.0,128.0,128.0,3.077521729289688,0.03344651655132184,0.016164804686639486
8.0,64.0,256.0,3.0775217292896886,0.015590888596707982,0.015607934979476375
9.0,32.0,512.0,3.077521729289688,0.007097680680991888,0.014893035999452782
10.0,16.0,1024.0,3.077521729289688,0.003440665462564561,0.014664296485351253
11.0,8.0,2048.0,3.0775217292896886,0.0021236565247494967,0.016292853206043657
12.0,4.0,4096.0,3.0775217292896886,0.0010064344280986959,0.015862175356005682
13.0,2.0,8192.0,3.0775217292896886,0.0011784395187504383,0.024273849290444627
